Old structure -Filename;Filename;id;Latex_Filename;CAS Number;Name ;bib_ref;Publication (latex);Model Type;Speicherort;memory location;Desc;Type;;;
CO_D.pm;CO_D.pm;;CO\_D.pm;630-08-0;Carbon monoxide;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole ;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
CO_Q.pm;CO_Q.pm;;CO\_Q.pm;630-08-0;Carbon monoxide;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CO2_3lj.pm;CO2_I.pm;;CO2\_I.pm;124-38-9;Carbon dioxide;0;\parencite{Merker2010};3 L.J. Centers & 1 Quattropole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CO2.pm;CO2_II.pm;;CO2\_II.pm;124-38-9;Carbon dioxide;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\ok;-;Rigid;;;
N.A.;Cs+.pm;;Cs+.pm;18459-37-5;Cesium ion (1+);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
CS2.pm;CS2.pm;;CS2.pm;75-15-0;Carbon disulfide;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;F-.pm;;F-.pm;16984-48-8;Fluorine ion (1-);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
F2.pm;F2.pm;;F2.pm;7782-41-4;Fluorine;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
NH3.pm;H3N_II.pm;;H3N\_II.pm;7664-41-7;Ammonia;0;\parencite{Eckl2008_B};1 L.J. Center & 4 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N2H4.pm;H4N2.pm;;H4N2.pm;302-01-2;Hydrazine;0;\parencite{Elts2012};2 L.J. Centers & 6 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
HClpc.pm;HCl.pm;;HCl.pm;7647-01-0;Hydrochloric acid;0;\parencite{Huang2011};1 L.J. Center & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;I-.pm;;I-.pm;20461-54-5;Iodide ion (1-);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
I2.pm;I2.pm;;I2.pm;7553-56-2;Iodine;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;K+.pm;;K+.pm;24203-36-9;Potassium ion (1+);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
Kr.pm;Kr.pm;;Kr.pm;7439-90-9;Krypton;0;\parencite{Vrabec2001};1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;Li+.pm;;Li+.pm;17341-24-1;Lithium ion (1+);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
Mg.pm;Mg2+.pm;;Mg2+.pm;22537-22-0;Magnesium ion (2+);0;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N2.pm;N2.pm;;N2.pm;7727-37-9;Nitrogen;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
N.A.;Na+.pm;;Na+.pm;17341-25-2;Sodium ion (1+);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
Ne.pm;Ne.pm;;Ne.pm;7440-01-9;Neon;0;\parencite{Vrabec2001};1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
O2.pm;O2.pm;;O2.pm;7782-44-7;Oxygen;0;\parencite{Stoll2004};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R11.pm;R11_CFCl3.pm;;R11\_CFCl3.pm;75-69-4;Trichloromonofluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CHCl=CF2.pm;R1122_CHCl=CF2.pm;;R1122\_CHCl$=$CF2.pm;359-10-4;2-Chloro-1,1-difluoroethylene;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
CCl3-CF2Cl.pm;R112a_CCl3-CF2Cl.pm;;R112a\_CCl3-CF2Cl.pm;76-11-9;1,1,1,2-Tetrachloro-2,2-difluoroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R113.pm;R113_CFCl2-CF2Cl.pm;;R113\_CFCl2-CF2Cl.pm;76-13-1;1,1,2-trichloro-1,2,2-trifluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R114.pm;R114_CF2Cl-CF2Cl.pm;;R114\_CF2Cl-CF2Cl.pm;76-14-2;1,2-dichloro-1,1,2,2-tetrafluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R115.pm;R115_CF3-CF2Cl.pm;;R115\_CF3-CF2Cl.pm;76-15-3;Pentafluoroethyl chloride;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R12.pm;R12_CF2Cl2.pm;;R12\_CF2Cl2.pm;75-71-8;Dichlorodifluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R123.pm;R123_CHCl2-CF3.pm;;R123\_CHCl2-CF3.pm;306-83-2; 2,2-dichloro-1,1,1-trifluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R124.pm;R124_CHFCl-CF3.pm;;R124\_CHFCl-CF3.pm;2837-89-0;2-chloro-1,1,1,2-tetrafluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R125.pm;R125_CHF2-CF3.pm;;R125\_CHF2-CF3.pm;354-33-6;pentafluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R13.pm;R13_CF3Cl.pm;;R13\_CF3Cl.pm;75-72-9;Chlorotrifluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R134.pm;R134_CHF2-CHF2.pm;;R134\_CHF2-CHF2.pm;359-35-3;1,1,2,2-tetrafluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R134a.pm;R134a_CH2F-CF3.pm;;R134a\_CH2F-CF3.pm;811-97-2;Norflurane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R13B1.pm;R13B1_CBrF3.pm;;R13B1\_CBrF3.pm;75-63-8;Bromotrifluoromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R141b.pm;R141b_CH3-CFCl2.pm;;R141b\_CH3-CFCl2.pm;1717-00-6;1,1-Dichloro-1-fluoroethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R142b.pm;R142b_CH3-CF2Cl.pm;;R142b\_CH3-CF2Cl.pm;75-68-3;1-chloro-1,1-difluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R143a.pm;R143a_CH3-CF3.pm;;R143a\_CH3-CF3.pm;420-46-2;1,1,1-trifluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R152a.pm;R152a_CH3-CHF2.pm;;R152a\_CH3-CHF2.pm;75-37-6;1,1-difluoro-Ethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R22.pm;R22_CHF2Cl.pm;;R22\_CHF2Cl.pm;75-45-6;Difluorochloromethane;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R227ea.pm;R227ea_C3HF7.pm;;R227ea\_C3HF7.pm;431-89-0;1,1,1,2,3,3,3-heptafluoro-Propane;0;\parencite{Eckl2007};10 L.J. Centers & 1 Dipole 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R23.pm;R23_CHF3.pm;;R23\_CHF3.pm;75-46-7;Fluoroform;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R32.pm;R32_CH2F2.pm;;R32\_CH2F2.pm;75-10-5;Difluoromethane;0;\parencite{Stoll2003};1 L.J. Center & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
R41.pm;R41_CH3F.pm;;R41\_CH3F.pm;593-53-3;Methyl fluoride;0;\parencite{Stoll2003};2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
1CLJ.pm;1CLJ.pm;;1CLJ.pm;-;-;;obsolete;1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Argon.pm;Ar.pm;;Ar.pm;7440-37-1;Argon;;obsolete;1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Krypton.pm;Krypton.pm;;Krypton.pm;7439-90-9;Krypton;;obsolete;1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
methane.pm;methane.pm;;methane.pm;74-82-8;Methane;;obsolete;1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Xenon.pm ;Xenon.pm ;;Xenon.pm ;7440-63-3;Xenon;;obsolete;1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Br_1.pm;Br-.pm;;Br-.pm;24959-67-9;Bromine ion (1-);;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;see comment;-;Rigid;;;
Cl_1.pm;Cl-.pm;;Cl-.pm;16887-00-6;Chlorine ion (1-);;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;see comment;-;Rigid;;;
HBrpc_fin.pm;HBr.pm;;HBr.pm;10035-10-6;Hydrobromic acid;;not yet published;1 L.J. Center & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unpubliziert;pm\others\unpublished;-;Rigid;;;
HClpc_fin.pm;HCl_I.pm;;HCl\_I.pm;7647-01-0;Hydrochloric acid;;obsolete;1 L.J. Center & 2 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Tip4p_p.pm;Tip4p_p.pm;;Tip4p\_p.pm;7732-18-5;Water;;N.A.;1 L.J. Center & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\keine_Qulle;pm\others\no source;-;Rigid;;;
SPC_E.pm;SPC_E.pm;;SPC\_E.pm;7732-18-5;Water;;obsolete;1 L.J. Center & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\doppelt;pm\others\delete - old name;-;Rigid;;;
NH3.pm;H3N_I.pm;;H3N\_I.pm;7664-41-7;Ammonia;;N.A.;1 L.J. Center & 4 Charges;;pm\others\no source;-;Rigid;;;
Water.pm;Water.pm;;Water.pm;7732-18-5;Water;;obsolete;1 L.J. Center 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Ethane.pm;Ethane.pm;;Ethane.pm;74-84-0;Ethane;;obsolete;2 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
C2H6_2CLJ.pm;C2H6_III.pm;;C2H6\_III.pm;74-84-0;Ethane;;N.A.;2 L.J. Centers ;;pm\others\no source;-;Rigid;;;
HBrdp_fin.pm;HBrdp_fin.pm;;HBrdp\_fin.pm;10035-10-6;Hydrogen bromide;;obsolete;2 L.J. Centers & 1 Dipole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
MeOH_alt.pm;CH4O_II.pm;;CH4O\_II.pm;67-56-1;Methyl alcohol;;N.A.;2 L.J. Centers & 3 Charges;;pm\others\no source;-;Rigid;;;
eox_old.pm;C2H4O_II.pm;;C2H4O\_II.pm;75-21-8;Ethylene oxide;;N.A.;3 L.J. Centers & 1 Dipole;;pm\others\no source;-;Rigid;;;
C2H6S.pm;C2H6S_II.pm;;C2H6S\_II.pm;75-18-3;Dimethyl sulfide;;N.A.;3 L.J. Centers & 2 Quadrupoles;;pm\others\no source;-;Rigid;;;
DMA.pm;C2H7N.pm;;C2H7N.pm;124-40-3;Dimethylamine;;N.A.;3 L.J. Centers & 4 Charges;;pm\others\no source;-;Rigid;;;
mg.pm;mg.pm;;mg.pm;463-57-0;methylene glycol;;obsolete;3 L.J. Centers & 5 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
SO2\_pl.pm;SO2_pl.pm;;SO2\_pl.pm;7446-09-5;Sulfur dioxide;;obsolete;3 L.J. Centers & 5 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
Isobutene.pm;Isobutene.pm;;Isobutene.pm;115-11-7;Isobutene;;N.A.;4 L.J. Centers;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
butane_flexOPLS.pm;butane_flexOPLS.pm;;butane\_flexOPLS.pm;106-97-8;Butane;;obsolete;4 L.J. Centers & ???;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
C4H4S.pm;C4H4S_II.pm;;C4H4S\_II.pm;110-02-1;Thiophene;;N.A.;4 L.J. Centers & 1 Dipole & 1 Quadrupole;;pm\others\no source;-;Rigid;;;
Phosgen_fin.pm;CCl2O.pm;;CCl2O.pm;75-44-5;Phosgene;;obsolete;4 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
IPA.pm;C3H8O.pm;;C3H8O.pm;67-63-0;Isopropyl Alcohol;;not yet published;4 L.J. Centers & 3 Charges;;pm\others\unpublished;-;Rigid;;;
C1F4.pm;CF4_I.pm;;CF4\_I.pm;75-73-0;Tetrafluoromethane;;N.A.;5 L.J. Centers;;pm\others\no source;-;Rigid;;;
benz6.pm;C6H6_III.pm;;C6H6\_ III.pm;71-43-2;Benzene;;N.A.;6 L.J. Centers & 1 Quadrupole;pm\new order\no source;pm\others\no source;-;Rigid;;;
Ben_fin.pm;C6H6_IV.pm;;C6H6\_ IV.pm;71-43-2;Benzene;;N.A.;6 L.J. Centers & 6 Quadrupoles;;pm\others\no source;-;Rigid;;;
benz66qrd.pm;C6H6_V.pm;;C6H6\_ V.pm;71-43-2;Benzene;;N.A.;6 L.J. Centers & 6 Quadrupoles;pm\new order\no source;pm\others\no source;-;Rigid;;;
Ben6Q.pm;C6H6.pm;;C6H6.pm;71-43-2;Benzene;;obsolete;6 L.J. Centers & 6 Quadrupoles;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\others\delete - old name;-;Rigid;;;
cyclohexanol.pm;C6H12O_I.pm;;C6H12O\_I.pm;108-93-0;Cyclohexanol;;not yet published;7 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\keine_Qulle;pm\others\unpublished;-;Rigid;;;
phenol_1.pm;C6H6O.pm;;C6H6O.pm;108-95-2;Phenol;;not yet published;7 L.J. Centers & 3 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unpubliziert;pm\others\unpublished;-;Rigid;;;
aniline.pm;C6H7N.pm;;C6H7N.pm;62-53-3;Aniline;;not yet published;7 L.J. Centers & 4 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unpubliziert;pm\others\unpublished;-;Rigid;;;
F_1.pm;F-.pm;;F-.pm;16984-48-8;Fluorine ion (1-);;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;see comment;-;Rigid;;;
I_1.pm;I-.pm;;I-.pm;20461-54-5;Iodide ion (1-);;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;see comment;-;Rigid;;;
N.A.;Rb+.pm;;Rb+.pm;22537-38-8;Rubidium ion (1+);0;\parencite{Reiser2014};1 L.J. Center & 1 Charge;;pm\ok;-;Rigid;;;
SF6.pm;SF6.pm;;SF6.pm;2551-62-4;Sulfur hexafluoride;0;\parencite{Vrabec2001};2 L.J. Centers & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
SO2.pm;SO2.pm;;SO2.pm;7446-09-5;Sulfur dioxide;0;\parencite{Eckl2008_C};3 L.J. Centers & 1 Dipole & 1 Quadrupole;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Sr.pm;Sr2+.pm;;Sr2+.pm;22537-39-9;Strontium ion (2+);0;\parencite{Deublein2012_A};1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Xe.pm;Xe.pm;;Xe.pm;7440-63-3;Xenon;0;\parencite{Vrabec2001};1 L.J. Center;TAUSCHVERZEICHNIS\Potentiale\pm\OK;pm\ok;-;Rigid;;;
Na.pm;Na+_II.pm;;Na+\_II.pm;17341-25-2;Sodium ion (1+);;N.A.;1 L.J. Center & 1 Charge;;pm\others\no source;-;Rigid;;;
Cl.pm;Cl-.pm;;Cl-.pm;16887-00-6;Chlorine ion (1-);;obsolete;1 L.J. Center & 1 Charge;TAUSCHVERZEICHNIS\Potentiale\pm\unnštig_doppelt;pm\others\delete - old name;-;Rigid;;;
ciclohexylamine.pm;C6H13N.pm;;C6H13N.pm;108-91-8;Cyclohexylamin;;not yet published;7 L.J. Centers & 4 Charges;TAUSCHVERZEICHNIS\Potentiale\pm\unpubliziert;pm\others\unpublished;-;Rigid;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
% old filename;% new filename;;% new filename in latex;;% substance name;;% reference for manual-latex;;;;;;;;
% Quellen:;Quelle anhand Cas: http://webbook.nist.gov/chemistry/;;;;Quelle anhand Cas: https://chem.sis.nlm.nih.gov/chemidplus/;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
% how to convert to latex;0;;"install Excel AddIn ""exceltolatex""";;;;;;;;;;;;
%;;;;;;;;;;;;;;;
%;1;;"Go to colum ""P"" and select:";;;;;;;;;;;;
%;;;pm\ok;;;;;;;;;;;;
%;;;;;;;;;6 L.J. Centers & 6 Quadrupoles;;;;;;
%;;;;;;;;;;;;;;;
%;2;;"Copy colum: ""C"", ""F"","" H"", ""I"" and ""J""";;;;;;;;;;;;
%;;;paste it on a new sheeet;;;;;;;;;;;;
%;;;;;;;;;;;;;;;
%;3;;mark the filled cells in the new sheet;;;;;;;;;;;;
%;;;"Go to ""Add-Ins"" in the Toolbar";;;;;;;;;;;;
%;;;"press ""Convert table to latex""";;;;;;;;;;;;
%;;;;;;;;;;;;;;;
%;4;;uncheck all the options;;;;;;;;;;;;
%;;;;;;;;;;;;;;;
%;5;;copy the latex-code of the table content;;;;;;;;;;;;
%;;;and update it in the latex-file (chapter: 6/Potential Models in the ms2-distribution);;;;;;;;;;;;
%;;;;;;;;;;;;;;;
;6;;delete the sheet you created in step 2;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
